groupname,overallocation,conflicts,under,unwilling,unpreffered
samadje,18,3,3,11,22
samadje,34,3,0,26,13
samadje,19,7,0,0,40
samadje,12,3,1,0,29
samadje,25,4,3,22,15
samadje,27,3,0,22,25
samadje,27,6,0,7,29
samadje,7,3,6,0,25
samadje,19,6,1,7,28
samadje,20,5,2,8,22
samadje,30,2,0,21,27
samadje,25,4,0,34,19
samadje,5,4,18,0,14
samadje,16,2,8,13,15
samadje,8,6,5,0,26
samadje,23,2,3,8,25
samadje,15,1,6,12,19
samadje,5,3,7,0,28
samadje,19,3,9,11,12
samadje,26,6,3,23,13
samadje,26,5,2,7,23
samadje,25,9,1,29,16
samadje,35,3,0,22,15
samadje,31,2,1,40,15
samadje,25,5,2,11,18
samadje,32,3,1,25,15
samadje,18,7,4,7,21
samadje,21,5,1,12,20
samadje,18,1,4,10,24
samadje,2,3,14,0,25
samadje,19,3,3,12,20
samadje,27,3,2,18,21
samadje,17,4,5,11,20
samadje,6,1,8,0,21
samadje,29,3,1,20,20
samadje,25,4,3,23,14
samadje,29,3,1,17,22
samadje,4,4,8,0,23
samadje,30,2,2,24,16
samadje,27,2,1,20,27
samadje,31,2,0,12,32
samadje,31,4,0,24,21
samadje,37,4,0,12,22
samadje,33,4,0,22,14
samadje,29,3,2,27,14
samadje,16,6,1,12,25
samadje,8,7,6,0,18
samadje,6,4,12,0,17
samadje,35,4,0,20,15
samadje,33,3,3,20,16
samadje,33,4,0,25,11
samadje,17,3,2,10,24
samadje,32,3,2,26,11
samadje,7,2,6,0,28
samadje,13,6,3,0,25
samadje,9,5,5,0,25
samadje,18,7,3,12,17
samadje,29,3,1,15,23
samadje,19,2,6,12,15
samadje,27,3,3,24,13
samadje,21,2,2,10,28
samadje,6,4,8,0,19
samadje,14,2,8,12,19
samadje,27,6,1,25,17
samadje,22,7,0,11,25
samadje,33,3,1,24,15
samadje,2,4,9,0,30
samadje,20,1,4,15,21
samadje,9,4,3,0,28
samadje,12,5,4,0,25
samadje,26,2,1,23,19
samadje,34,4,0,24,12
samadje,7,3,11,0,18
samadje,29,2,1,17,27
samadje,31,2,1,19,25
samadje,7,5,11,0,16
samadje,16,3,6,10,23
samadje,17,4,1,13,25
samadje,29,5,0,20,17
samadje,29,4,0,19,28
samadje,28,2,2,25,17
samadje,10,4,1,0,35
samadje,18,2,6,13,15
samadje,26,6,2,4,24
samadje,31,2,0,22,23
samadje,30,2,0,36,21
samadje,22,3,5,7,16
samadje,31,4,0,19,26
samadje,18,1,4,11,23
samadje,29,3,0,19,30
samadje,27,5,1,7,24
samadje,22,3,5,11,13
samadje,4,5,10,0,18
samadje,20,5,1,9,25
samadje,14,3,7,12,14
samadje,18,3,5,13,18
samadje,21,2,3,13,21
samadje,37,4,0,15,20
samadje,25,3,0,18,31
samadje,3,3,10,0,26
samadje,17,2,3,8,29
samadje,35,4,2,18,17
samadje,24,6,2,7,20
samadje,5,2,9,0,24
samadje,18,3,2,12,23
samadje,20,3,2,7,28
samadje,29,4,0,15,31
samadje,28,3,1,16,24
samadje,21,2,5,7,26
samadje,20,1,4,12,22
samadje,17,5,1,11,26
samadje,10,4,5,0,25
samadje,5,3,10,0,20
samadje,11,5,8,0,17
samadje,27,3,2,24,16
samadje,6,4,5,0,27
samadje,28,3,1,25,17
samadje,3,5,9,0,23
samadje,9,2,8,0,20
samadje,29,2,2,23,17
samadje,29,3,0,16,31
samadje,32,2,2,21,19
samadje,5,0,13,0,22
samadje,28,2,0,20,29
samadje,23,5,2,12,17
samadje,22,2,2,12,25
samadje,16,1,9,13,15
samadje,19,4,3,8,17
samadje,12,2,5,0,31
samadje,11,4,7,0,18
samadje,30,3,1,22,17
samadje,28,4,0,19,30
samadje,26,3,4,26,16
samadje,5,4,9,0,19
samadje,13,5,5,0,23
samadje,14,3,6,11,24
samadje,32,3,1,23,16
samadje,21,3,5,8,18
samadje,28,3,1,23,18
samadje,22,5,0,11,30
samadje,35,4,0,23,13
samadje,32,3,1,19,20
samadje,32,3,1,16,22
samadje,17,5,4,10,19
samadje,23,6,0,4,32
samadje,34,3,0,19,17
samadje,10,0,8,0,26
samadje,20,3,4,13,19
samadje,34,4,0,16,18
samadje,19,2,6,7,20
samadje,32,3,0,27,10
samadje,32,4,3,22,14
samadje,21,5,1,7,25
samadje,31,3,1,26,15
samadje,33,3,3,21,15
samadje,20,1,4,8,26
samadje,4,4,7,0,25
samadje,33,2,0,26,21
samadje,27,5,1,13,18
samadje,16,4,4,11,21
samadje,20,5,0,12,32
samadje,18,1,5,11,22
samadje,23,3,1,10,28
samadje,16,3,4,11,25
samadje,22,7,0,7,26
samadje,12,4,6,12,18
samadje,4,2,10,0,22
samadje,10,5,5,0,24
samadje,20,3,7,9,16
samadje,32,4,2,23,12
samadje,22,5,2,13,17
samadje,29,2,3,22,20
samadje,25,6,0,11,25
samadje,22,3,1,13,25
samadje,18,2,6,8,22
samadje,18,5,2,12,20
samadje,32,3,1,26,12
samadje,35,4,0,19,16
samadje,32,3,1,12,26
samadje,20,2,2,10,29
samadje,17,10,0,0,33
samadje,18,5,1,10,23
samadje,16,4,3,11,25
samadje,30,4,0,21,24
samadje,19,4,2,14,19
samadje,10,3,5,0,28
samadje,29,5,0,25,14
samadje,31,2,0,14,29
samadje,20,7,0,10,31
samadje,7,3,10,0,19
samadje,9,6,5,0,22
samadje,19,2,2,13,25
samadje,31,4,0,25,17
samadje,29,3,1,14,24
samadje,34,3,0,25,16
samadje,29,2,4,24,16
samadje,8,3,12,0,17
samadje,27,7,0,22,19
samadje,27,2,3,27,14
samadje,16,7,3,14,18
samadje,9,7,4,0,23
samadje,9,4,7,0,20
samadje,19,2,3,12,27
samadje,30,3,3,25,11
samadje,9,1,7,0,28
samadje,29,5,4,25,12
samadje,31,2,0,21,24
samadje,20,3,5,10,14
